"id.deidentified","Age","Gender","Race","Multi.racial","Class","income","ladder","Item1I","Use1I","Aware1I","Item2I","Use2I","Aware2I","Item3I","Use3I","Aware3I","Item4I","Use4I","Aware4I","OrderI_1_Group","OrderI_1_Rank","OrderI_2_Group","OrderI_2_Rank","OrderI_3_Group","OrderI_3_Rank","OrderI_4_Group","OrderI_4_Rank","Item1C","Use1C","Aware1C","Item2C","Use2C","Aware2C","Item3C","Use3C","Aware3C","Item4C","Use4C","Aware4C","OrderC_1_Group","OrderC_1_Rank","OrderC_2_Group","OrderC_2_Rank","OrderC_3_Group","OrderC_3_Rank","OrderC_4_Group","OrderC_4_Rank","iat","cgpa"
55,18,1,"2","",2,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,3,1,3,2,1,2,1,0,1,1,1,2,1,3,1,0.302839685,"3.6"
56,19,2,"2","",1,2,7,1,3,2,1,2,3,1,3,3,1,3,2,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
57,19,2,"3","",1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,2,1,3,2,1,3,1,1,1,0,1,2,1,3,1,1.044839873,"3.46"
58,19,2,"2","",1,8,9,1,3,1,1,3,3,1,3,2,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44755803,"2.9"
59,20,1,"7","",2,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,3,1,3,2,1,2,2,1,1,0,1,2,1,3,1,0.572223739,"4.93"
60,19,1,"7","",1,7,10,1,3,2,1,4,3,1,4,3,1,4,3,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473425716,"3.67"
61,22,2,"3","",4,5,6,1,2,1,1,3,3,1,3,3,1,2,2,0,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472526613,"2.1"
62,20,2,"2","",2,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,2,1,3,2,1,3,1,1,1,0,1,2,1,3,1,0.405663229,"2.9"
63,18,2,"7","",1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,2,3,1,3,2,0,1,1,1,3,1,2,1,-0.136717292,"3.63"
64,21,2,"7","",3,9,10,1,2,2,1,3,3,1,2,2,1,3,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.066768528,"3.45"
65,20,1,"7","",2,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,1,2,1,1,3,1,1,1,0,1,3,1,2,1,NA,""
66,21,2,"2","",3,9,8,1,2,2,1,2,3,1,2,3,1,3,3,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738711703,"3.45"
67,19,1,"8","Korean, Spanish, French, Irish",1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,3,2,1,4,1,2,1,0,1,1,1,3,1,0.399365776,"3"
68,20,1,"2","",2,1,7,1,2,2,1,3,3,1,3,3,1,4,2,2,1,0,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522484678,"3.61"
69,20,1,"5","",3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,3,2,1,4,2,3,1,0,1,1,1,2,1,0.619830669,"2.4"
70,19,2,"3","",1,3,3,1,2,2,1,2,3,1,3,3,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485452502,"3.1"
